"","AccidentArea","Sex","MaritalStatus","Age","Fault","VehicleCategory","FraudFound_P","Deductible","AgentType","AddressChange_Claim","BasePolicy"
"13748","Urban","Female","Married",45,"Policy Holder","Sedan","0",400,"External","no change","All Perils"
"10200","Urban","Female","Single",35,"Policy Holder","Sedan","0",400,"Internal","no change","Collision"
"878","Urban","Male","Single",27,"Third Party","Sedan","0",400,"External","no change","Collision"
"1273","Urban","Male","Married",27,"Policy Holder","Sedan","0",400,"External","no change","All Perils"
"1386","Urban","Male","Single",28,"Policy Holder","Sedan","0",400,"External","no change","Collision"
"6866","Urban","Male","Single",32,"Third Party","Sedan","0",400,"External","no change","Collision"
"10021","Urban","Male","Single",41,"Policy Holder","Sport","0",400,"External","no change","Liability"
"10310","Urban","Male","Married",65,"Policy Holder","Sedan","0",400,"External","no change","All Perils"
"14591","Rural","Male","Married",55,"Policy Holder","Sedan","0",400,"External","no change","Collision"
"7762","Urban","Male","Married",39,"Third Party","Sedan","0",400,"External","no change","Collision"
"14756","Urban","Male","Married",34,"Third Party","Sedan","0",400,"External","no change","All Perils"
"10382","Urban","Male","Married",33,"Third Party","Sedan","0",400,"External","no change","All Perils"
"8761","Urban","Male","Single",54,"Third Party","Sedan","0",400,"External","no change","Collision"
"11692","Urban","Male","Married",39,"Policy Holder","Sedan","0",400,"External","no change","Collision"
"2363","Urban","Female","Married",45,"Third Party","Sport","0",400,"External","no change","Liability"
"4195","Urban","Male","Married",27,"Policy Holder","Sport","0",400,"External","no change","Liability"
"5532","Urban","Male","Married",52,"Policy Holder","Sport","0",400,"External","no change","Liability"
"10186","Rural","Male","Married",30,"Third Party","Sport","0",400,"External","4 to 8 years","Liability"
"10300","Urban","Male","Married",42,"Third Party","Sedan","0",400,"External","no change","Collision"
"8534","Rural","Male","Single",27,"Policy Holder","Sport","0",400,"External","no change","Liability"
"9498","Urban","Male","Single",28,"Policy Holder","Sedan","0",400,"External","no change","Collision"
"2595","Urban","Male","Single",33,"Third Party","Sedan","0",400,"External","no change","All Perils"
"13114","Urban","Male","Married",54,"Policy Holder","Sport","0",400,"External","no change","Liability"
"4869","Urban","Male","Married",56,"Third Party","Sedan","0",400,"External","no change","All Perils"
"11540","Rural","Male","Married",56,"Policy Holder","Sedan","0",400,"External","no change","Collision"
"15326","Urban","Male","Single",27,"Policy Holder","Sport","0",400,"External","no change","Liability"
"6950","Urban","Male","Married",46,"Policy Holder","Utility","0",400,"External","no change","All Perils"
"3968","Urban","Male","Married",52,"Policy Holder","Sedan","0",400,"External","no change","Collision"
"9980","Urban","Male","Single",31,"Policy Holder","Sedan","0",400,"External","no change","All Perils"
"11350","Urban","Male","Married",58,"Third Party","Sedan","0",400,"External","no change","Collision"
"5885","Urban","Male","Married",28,"Policy Holder","Sedan","0",400,"External","no change","All Perils"
"4076","Urban","Male","Single",33,"Policy Holder","Sedan","0",400,"External","no change","Collision"
"12119","Urban","Male","Married",38,"Policy Holder","Utility","0",400,"External","no change","Collision"
"3376","Urban","Male","Married",28,"Policy Holder","Sedan","0",400,"External","no change","Collision"
"8285","Urban","Male","Married",37,"Policy Holder","Sport","0",400,"External","no change","Liability"
"9516","Urban","Male","Married",59,"Third Party","Sedan","0",400,"External","no change","All Perils"
"9067","Urban","Male","Married",34,"Third Party","Sedan","0",400,"External","no change","Collision"
"11553","Urban","Male","Married",45,"Policy Holder","Sport","0",400,"External","no change","Liability"
"12179","Rural","Male","Single",0,"Policy Holder","Sedan","0",400,"External","no change","All Perils"
"1755","Rural","Male","Married",61,"Policy Holder","Sedan","0",400,"External","no change","Collision"
"14505","Urban","Male","Married",52,"Policy Holder","Sedan","0",400,"External","no change","All Perils"
"13771","Urban","Male","Married",46,"Policy Holder","Sport","0",500,"External","2 to 3 years","Liability"
"2698","Urban","Female","Married",52,"Policy Holder","Sport","0",700,"External","no change","Liability"
"5837","Rural","Male","Married",77,"Policy Holder","Sedan","0",400,"External","no change","Collision"
"1497","Urban","Male","Single",35,"Policy Holder","Sport","0",400,"External","no change","Liability"
"8430","Rural","Male","Married",41,"Policy Holder","Sport","0",400,"External","no change","Liability"
"8471","Urban","Male","Married",31,"Third Party","Sport","0",400,"External","no change","Liability"
"4256","Urban","Male","Married",46,"Policy Holder","Sedan","0",400,"External","no change","Collision"
"418","Urban","Male","Married",46,"Policy Holder","Sedan","0",400,"External","no change","Collision"
"2866","Urban","Male","Single",18,"Policy Holder","Sedan","0",400,"External","no change","Collision"
"9277","Urban","Male","Married",50,"Policy Holder","Sport","0",400,"External","no change","Liability"
"12252","Urban","Male","Single",0,"Policy Holder","Sedan","0",400,"External","no change","All Perils"
"7783","Urban","Female","Single",32,"Policy Holder","Sport","0",400,"External","no change","Liability"
"13660","Urban","Female","Married",44,"Policy Holder","Sedan","0",400,"External","no change","All Perils"
"11419","Urban","Female","Single",34,"Policy Holder","Sedan","0",400,"External","no change","Collision"
"1646","Urban","Female","Single",28,"Policy Holder","Sport","0",400,"External","no change","Liability"
"10958","Urban","Male","Single",30,"Third Party","Sport","0",400,"External","no change","Liability"
"12941","Urban","Male","Married",31,"Third Party","Sport","0",400,"External","no change","Liability"
"9000","Urban","Female","Married",28,"Third Party","Sedan","0",400,"External","no change","Collision"
"5527","Urban","Male","Married",64,"Policy Holder","Sport","0",400,"External","no change","Liability"
"9912","Urban","Female","Single",38,"Policy Holder","Sport","0",400,"External","no change","Liability"
"13645","Urban","Male","Single",26,"Policy Holder","Sedan","0",400,"External","no change","Collision"
"3413","Rural","Male","Married",40,"Policy Holder","Sport","0",400,"External","no change","Liability"
"13173","Urban","Male","Married",27,"Policy Holder","Sport","0",400,"External","no change","Collision"
"8968","Rural","Male","Married",40,"Third Party","Sedan","0",400,"External","4 to 8 years","Collision"
"125","Urban","Male","Single",22,"Third Party","Sedan","0",400,"External","no change","All Perils"
"13243","Urban","Female","Single",34,"Policy Holder","Sedan","0",400,"External","no change","Collision"
"11659","Urban","Male","Married",52,"Policy Holder","Sport","0",400,"External","no change","Liability"
"3294","Urban","Male","Married",26,"Third Party","Sport","0",400,"External","no change","Liability"
"8816","Urban","Male","Single",46,"Third Party","Sedan","0",400,"External","no change","Collision"
"9024","Urban","Male","Single",33,"Policy Holder","Sport","0",400,"External","no change","Liability"
"10272","Urban","Male","Married",64,"Policy Holder","Sedan","0",400,"External","no change","All Perils"
"13397","Urban","Male","Married",75,"Third Party","Sedan","0",400,"External","no change","All Perils"
"4157","Urban","Male","Single",42,"Policy Holder","Sport","0",400,"External","no change","Liability"
"4943","Urban","Male","Single",29,"Third Party","Sedan","0",400,"External","no change","Collision"
"14352","Urban","Male","Married",47,"Third Party","Sedan","0",400,"External","no change","All Perils"
"10034","Urban","Male","Married",48,"Third Party","Sedan","0",400,"External","no change","All Perils"
"14328","Urban","Male","Single",35,"Third Party","Sedan","0",400,"External","no change","Collision"
"10848","Urban","Male","Married",34,"Policy Holder","Sport","0",400,"External","no change","Liability"
"10541","Rural","Male","Single",37,"Policy Holder","Sedan","0",700,"External","no change","All Perils"
"9430","Urban","Male","Single",30,"Policy Holder","Sport","0",400,"External","4 to 8 years","Liability"
"4725","Urban","Female","Married",29,"Third Party","Sedan","0",400,"External","no change","All Perils"
"6055","Urban","Male","Single",27,"Third Party","Sedan","0",400,"External","no change","All Perils"
"4710","Urban","Male","Single",34,"Policy Holder","Sport","0",400,"External","no change","Liability"
"11863","Urban","Male","Married",29,"Third Party","Sedan","0",400,"External","no change","Collision"
"8352","Urban","Male","Married",32,"Policy Holder","Sedan","0",400,"External","no change","Collision"
"652","Urban","Male","Married",38,"Policy Holder","Sedan","0",700,"External","4 to 8 years","All Perils"
"231","Urban","Male","Married",33,"Policy Holder","Sedan","0",400,"External","no change","Collision"
"4669","Urban","Male","Married",33,"Policy Holder","Sport","0",400,"External","no change","Liability"
"1042","Rural","Male","Single",34,"Policy Holder","Sedan","0",400,"External","no change","Collision"
"11436","Rural","Male","Single",30,"Third Party","Sport","0",400,"External","no change","Collision"
"14779","Rural","Male","Married",56,"Policy Holder","Sport","0",400,"External","no change","Liability"
"7009","Urban","Female","Married",31,"Third Party","Sport","0",400,"External","no change","Collision"
"1450","Rural","Male","Married",39,"Policy Holder","Sedan","0",400,"External","4 to 8 years","All Perils"
"14385","Urban","Female","Married",31,"Policy Holder","Sedan","0",400,"External","no change","Collision"
"10763","Urban","Male","Single",0,"Policy Holder","Sport","0",400,"External","no change","Liability"
"10545","Urban","Male","Married",64,"Policy Holder","Sedan","0",400,"External","no change","All Perils"
"13164","Urban","Male","Married",31,"Policy Holder","Sport","0",400,"External","no change","Liability"
"14104","Urban","Male","Married",55,"Policy Holder","Utility","0",400,"External","no change","All Perils"
"5862","Urban","Male","Married",29,"Policy Holder","Sedan","0",400,"External","no change","Collision"
"14987","Urban","Female","Married",33,"Policy Holder","Sport","0",400,"External","no change","Liability"
"8526","Urban","Male","Married",54,"Policy Holder","Sedan","0",400,"External","no change","Collision"
"4318","Urban","Male","Married",71,"Third Party","Sedan","0",400,"External","no change","All Perils"
"13021","Urban","Male","Married",32,"Policy Holder","Sport","0",400,"External","4 to 8 years","Liability"
"5197","Urban","Female","Single",45,"Policy Holder","Sedan","0",400,"External","no change","Collision"
"11688","Urban","Male","Married",42,"Third Party","Sport","0",700,"External","no change","Liability"
"5419","Rural","Male","Married",45,"Third Party","Sport","0",400,"External","4 to 8 years","Liability"
"1361","Urban","Female","Single",28,"Policy Holder","Sport","0",400,"External","no change","Liability"
"14086","Rural","Male","Married",26,"Policy Holder","Sedan","0",400,"External","no change","Collision"
"15344","Urban","Male","Single",35,"Third Party","Sedan","0",400,"External","no change","Collision"
"9123","Urban","Male","Married",27,"Third Party","Sport","0",400,"External","no change","Liability"
"8310","Urban","Male","Single",41,"Policy Holder","Sport","0",400,"External","no change","Liability"
"2071","Urban","Female","Single",30,"Policy Holder","Sedan","0",400,"External","no change","All Perils"
"5825","Urban","Female","Single",38,"Policy Holder","Sedan","0",400,"External","1 year","Collision"
"7088","Urban","Male","Married",42,"Policy Holder","Sport","0",400,"External","no change","Liability"
"15323","Urban","Female","Single",27,"Third Party","Sedan","0",400,"External","no change","All Perils"
"7557","Urban","Male","Single",44,"Policy Holder","Sport","0",400,"External","no change","Liability"
"7648","Rural","Male","Married",46,"Third Party","Sedan","0",400,"External","no change","All Perils"
"8258","Urban","Male","Married",26,"Policy Holder","Sedan","0",400,"External","no change","All Perils"
"246","Urban","Male","Single",0,"Third Party","Sedan","0",400,"External","no change","Collision"
"4804","Urban","Male","Single",29,"Policy Holder","Sport","0",400,"External","no change","Liability"
"2315","Urban","Male","Married",43,"Third Party","Sedan","0",400,"External","no change","All Perils"
"2385","Urban","Male","Married",36,"Policy Holder","Sedan","0",400,"External","no change","Collision"
"11863.1","Urban","Male","Married",29,"Third Party","Sedan","0",400,"External","no change","Collision"
"722","Urban","Male","Single",28,"Policy Holder","Sport","0",400,"External","no change","Liability"
"2376","Urban","Male","Married",22,"Third Party","Sedan","0",400,"External","no change","All Perils"
"6098","Urban","Male","Married",29,"Policy Holder","Sport","0",400,"External","1 year","Liability"
"13958","Urban","Male","Married",30,"Third Party","Sport","0",400,"External","no change","Collision"
"2986","Urban","Female","Married",46,"Policy Holder","Sport","0",400,"External","no change","Liability"
"9668","Urban","Female","Single",42,"Policy Holder","Sedan","0",400,"External","no change","Collision"
"2332","Urban","Female","Married",53,"Third Party","Sedan","0",400,"External","4 to 8 years","All Perils"
"1732","Urban","Female","Married",41,"Policy Holder","Sport","0",400,"External","no change","Collision"
"3018","Urban","Male","Married",30,"Third Party","Sport","0",400,"External","no change","Liability"
"7262","Urban","Male","Married",58,"Policy Holder","Sport","0",400,"External","no change","Liability"
"5556","Urban","Male","Married",37,"Policy Holder","Sport","0",400,"External","no change","Liability"
"7688","Urban","Female","Single",23,"Third Party","Sedan","0",400,"External","no change","All Perils"
"6","Urban","Male","Single",20,"Third Party","Sport","0",400,"External","no change","Collision"
"6366","Rural","Female","Single",27,"Third Party","Sedan","0",400,"External","no change","Collision"
"8048","Urban","Male","Married",42,"Policy Holder","Sport","0",400,"External","no change","Liability"
"2909","Rural","Female","Married",30,"Policy Holder","Sedan","0",400,"External","no change","All Perils"
"4323","Urban","Female","Single",32,"Policy Holder","Sport","0",400,"External","no change","Liability"
"13911","Urban","Male","Married",34,"Policy Holder","Sedan","0",400,"External","no change","Collision"
"8879","Urban","Male","Married",41,"Policy Holder","Sedan","0",400,"External","no change","Collision"
"9577","Urban","Male","Married",27,"Third Party","Sedan","0",400,"External","4 to 8 years","Collision"
"15313","Urban","Male","Married",41,"Policy Holder","Sedan","0",400,"External","no change","All Perils"
"11319","Urban","Male","Married",28,"Third Party","Sedan","0",400,"External","no change","All Perils"
"13104","Urban","Male","Married",61,"Third Party","Sedan","0",400,"External","no change","All Perils"
"4181","Urban","Male","Single",28,"Policy Holder","Sedan","0",400,"External","no change","Collision"
"3739","Rural","Male","Single",26,"Policy Holder","Sport","0",400,"External","4 to 8 years","Liability"
"11356","Rural","Male","Single",40,"Third Party","Sedan","0",400,"External","no change","Collision"
"2874","Urban","Male","Single",0,"Policy Holder","Sport","0",400,"External","no change","All Perils"
"7338","Urban","Male","Single",31,"Policy Holder","Sedan","0",400,"External","no change","Collision"
"7180","Urban","Male","Married",39,"Policy Holder","Sport","0",400,"External","no change","Liability"
"4128","Urban","Male","Married",49,"Policy Holder","Sedan","0",400,"External","no change","All Perils"
"2982","Urban","Male","Single",32,"Policy Holder","Sedan","0",400,"External","no change","All Perils"
"3240","Urban","Male","Single",34,"Policy Holder","Sedan","0",400,"External","no change","Collision"
"3212","Urban","Male","Married",52,"Third Party","Sport","0",400,"External","no change","Liability"
"14506","Urban","Male","Married",51,"Policy Holder","Utility","0",400,"External","no change","All Perils"
"3908","Urban","Female","Single",28,"Third Party","Sport","0",400,"External","no change","Collision"
"2623","Urban","Male","Married",55,"Third Party","Sedan","0",400,"External","no change","All Perils"
"12686","Rural","Male","Single",26,"Policy Holder","Sedan","0",400,"External","no change","All Perils"
"3357","Urban","Male","Married",46,"Third Party","Sedan","0",400,"External","no change","All Perils"
"4918","Urban","Male","Married",55,"Policy Holder","Sedan","0",400,"External","no change","Collision"
"6175","Urban","Female","Married",35,"Policy Holder","Sport","0",400,"External","4 to 8 years","Liability"
"15225","Urban","Male","Single",35,"Policy Holder","Sport","0",400,"External","no change","Liability"
"2332.1","Urban","Female","Married",53,"Third Party","Sedan","0",400,"External","4 to 8 years","All Perils"
"12695","Urban","Female","Single",26,"Policy Holder","Sport","0",400,"External","no change","Liability"
"819","Urban","Male","Married",44,"Policy Holder","Sport","0",400,"External","no change","Liability"
"9422","Urban","Male","Married",52,"Policy Holder","Sport","0",400,"External","no change","Liability"
"12128","Urban","Male","Married",38,"Third Party","Sedan","0",400,"External","no change","All Perils"
"7410","Rural","Male","Married",45,"Policy Holder","Utility","0",700,"External","no change","All Perils"
"12096","Rural","Male","Single",31,"Policy Holder","Sedan","0",400,"External","no change","Collision"
"3269","Urban","Male","Single",34,"Third Party","Sport","0",400,"External","no change","Liability"
"9995","Urban","Male","Married",53,"Policy Holder","Sedan","0",400,"External","no change","All Perils"
"2624","Urban","Male","Single",26,"Policy Holder","Sedan","0",400,"External","no change","Collision"
"12163","Urban","Male","Married",50,"Policy Holder","Sport","0",400,"External","no change","Liability"
"12417","Rural","Male","Single",33,"Policy Holder","Sport","0",400,"External","no change","Liability"
"9987","Urban","Male","Married",54,"Policy Holder","Sedan","0",400,"External","no change","All Perils"
"2952","Rural","Male","Single",0,"Policy Holder","Sport","0",400,"External","no change","Collision"
"8982","Urban","Male","Married",40,"Policy Holder","Sport","0",400,"External","no change","Liability"
"12248","Urban","Male","Married",57,"Policy Holder","Sedan","0",400,"External","no change","Collision"
"13683","Urban","Male","Single",32,"Third Party","Sedan","0",400,"External","no change","Collision"
"7607","Urban","Male","Married",71,"Policy Holder","Sedan","0",400,"External","no change","All Perils"
"1332","Urban","Male","Married",64,"Policy Holder","Sedan","0",400,"External","no change","Collision"
"9835","Urban","Male","Married",58,"Policy Holder","Sedan","0",400,"External","no change","Collision"
"1334","Urban","Male","Married",48,"Third Party","Sedan","0",700,"External","no change","Collision"
"9415","Urban","Male","Single",31,"Policy Holder","Sport","0",400,"External","no change","Liability"
"13083","Urban","Male","Married",34,"Policy Holder","Sedan","0",400,"External","no change","Collision"
"10283","Urban","Male","Married",47,"Policy Holder","Sedan","0",400,"External","no change","All Perils"
"12071","Urban","Male","Single",30,"Policy Holder","Sedan","0",400,"External","no change","Collision"
"3043","Urban","Male","Married",71,"Policy Holder","Sport","0",400,"External","no change","Liability"
"7101","Urban","Female","Married",31,"Policy Holder","Sport","0",400,"External","no change","Liability"
"11858","Urban","Male","Married",33,"Policy Holder","Sport","0",400,"External","no change","Liability"
"3285","Urban","Male","Single",42,"Policy Holder","Sport","0",400,"External","no change","Liability"
"2268","Urban","Male","Married",38,"Third Party","Sport","0",400,"External","no change","Liability"
"2277","Urban","Male","Single",35,"Policy Holder","Sport","0",400,"External","no change","Liability"
"12125","Urban","Female","Single",47,"Policy Holder","Sedan","0",400,"External","no change","All Perils"
"3643","Urban","Male","Single",16,"Third Party","Sport","0",400,"External","no change","Collision"
"11357","Rural","Female","Married",38,"Third Party","Sport","0",400,"External","no change","Liability"
"4923","Urban","Male","Married",35,"Policy Holder","Sport","0",400,"External","no change","Liability"
"912","Urban","Female","Married",37,"Policy Holder","Sport","0",400,"External","no change","Liability"
"4768","Urban","Male","Married",45,"Policy Holder","Sedan","0",400,"External","4 to 8 years","Collision"
"8836","Rural","Male","Married",40,"Third Party","Sedan","0",700,"External","no change","Collision"
"1977","Urban","Male","Single",30,"Policy Holder","Sedan","0",400,"External","no change","Collision"
"1904","Urban","Male","Divorced",35,"Third Party","Sedan","0",400,"External","no change","All Perils"
"3985","Urban","Male","Married",30,"Policy Holder","Sport","0",400,"External","no change","Liability"
"2519","Urban","Male","Married",60,"Policy Holder","Sport","0",400,"External","no change","Liability"
"12192","Urban","Male","Married",52,"Third Party","Sport","0",400,"External","no change","Liability"
"3177","Urban","Male","Married",79,"Policy Holder","Sport","0",400,"External","no change","Liability"
"5212","Urban","Female","Single",35,"Policy Holder","Sport","0",400,"External","no change","Liability"
"11756","Urban","Male","Married",52,"Policy Holder","Sedan","0",400,"External","no change","All Perils"
"5017","Urban","Male","Married",38,"Policy Holder","Sport","0",400,"External","no change","Liability"
"4152","Urban","Male","Married",25,"Policy Holder","Sedan","0",400,"Internal","no change","Collision"
"1986","Urban","Male","Married",40,"Third Party","Sedan","0",400,"External","no change","All Perils"
"12709","Urban","Male","Married",42,"Policy Holder","Sport","0",400,"External","no change","Liability"
"8863","Urban","Female","Married",44,"Third Party","Sedan","0",400,"External","4 to 8 years","Collision"
"14956","Urban","Male","Married",32,"Policy Holder","Sport","0",400,"External","no change","Liability"
"10631","Urban","Male","Married",27,"Policy Holder","Sport","0",400,"External","no change","Liability"
"1509","Urban","Male","Married",44,"Third Party","Sport","0",400,"External","no change","Liability"
"4734","Urban","Male","Married",46,"Policy Holder","Sport","0",400,"External","no change","Liability"
"4407","Urban","Male","Single",0,"Third Party","Sport","0",400,"External","no change","Liability"
"13644","Urban","Female","Married",52,"Third Party","Sedan","0",400,"External","no change","Collision"
"13862","Urban","Male","Single",35,"Third Party","Sedan","0",400,"External","no change","All Perils"
"13047","Rural","Male","Single",21,"Policy Holder","Sedan","0",400,"External","no change","Collision"
"7995","Urban","Male","Married",40,"Third Party","Sedan","0",400,"External","no change","All Perils"
"6537","Urban","Male","Single",22,"Policy Holder","Sedan","0",400,"External","no change","Collision"
"12627","Urban","Female","Single",34,"Third Party","Sedan","0",400,"External","no change","Collision"
